Date,share,Price to earnings ratio,Price to sales ratio,Price to cash flow ratio,Price to book ratio,Enterprise value,Enterprise value to EBITDA ratio,Return on assets %,Return on equity %,Return on invested capital %,Gross margin %,Operating margin %,EBITDA margin %,Net margin %,Quick ratio,Current ratio,Inventory turnover,Asset turnover,Debt to assets ratio,Debt to equity ratio,Long term debt to total assets ratio,Long term debt to total equity ratio
2021,  TSLA,215.99,22.17,103.78,36.16,1.19E+12,125.79,9.67,21.08,15.73,25.28,12.07,17.48,10.26,1.08,1.38,8.16,0.94,0.14,0.29,0.11,0.22
2022,  TSLA,34.02,5.25,29.07,8.72,4.1251E+11,23.32,17.42,33.6,29.41,25.6,16.98,21.58,15.45,1.05,1.53,6.52,1.13,0.07,0.13,0.05,0.08
2023,  TSLA,47.9,6.57,42.69,11.54,4.9717E+11,29.58,15.42,28.69,26.67,19.34,11.42,15.9,10.77,1.04,1.57,6.28,1.13,0.03,0.05,0.01,0.03
2016,  AMZN,153.03,2.67,22.07,18.55,3.5677E+11,34.28,3.08,14.52,7.64,35.09,3.2,7.65,1.74,0.78,1.04,8.13,1.77,0.24,1.06,0.18,0.79
2017,  AMZN,190.16,3.24,31.39,20.43,5.8834E+11,43.53,2.31,10.95,4.62,37.07,2.43,7.6,1.71,0.76,1.04,6.98,1.35,0.34,1.59,0.29,1.37
2018,  AMZN,74.55,3.22,24.44,16.93,7.586E+11,29.95,6.85,28.27,13.52,40.25,5.46,10.88,4.33,0.85,1.1,8.38,1.58,0.3,1.13,0.24,0.91
2019,  AMZN,80.37,3.32,24.18,14.83,9.535E+11,30.46,5.97,21.95,11.11,40.99,5.26,10.86,4.13,0.86,1.1,8.79,1.45,0.34,1.25,0.28,1.02
2020,  AMZN,77.87,4.3,25.14,17.54,1.68E+12,41.39,7.81,27.44,14.08,39.57,5.91,10.25,5.53,0.86,1.05,10.53,1.41,0.31,1.08,0.26,0.9
2021,  AMZN,51.47,3.65,37.07,12.28,1.75E+12,35.05,9,28.81,15.43,42.03,5.31,10.29,7.1,0.91,1.14,9.65,1.27,0.31,0.96,0.28,0.84
2022,  AMZN,41.00333333,1.67,18.31,5.89,9.4046E+11,22.32,-0.62,-1.91,10.01,43.81,2.63,7.6,-0.53,0.72,0.94,8.62,1.16,0.33,1.06,0.3,0.96
2023,  AMZN,26.55333333,2.08,22.89,7.28,1.15E+12,20.89,-0.62,-1.91,14.14,42.6,2.34,10.84,0.19,0.72,0.94,8.62,1.16,0.33,1.06,0.3,0.96
2016,UL, 43.21 , 1.90 , 33.84 , 11.33 , 140 860 000 000.00 , 16.88 , 5.01 , 31.20 , 29.68 , 28.75 , 8.31 , 11.96 , 4.40 , 0.59 , 0.78 , 6.19 , 1.14 , 0.29 , 1.79 , 0.20 , 0.66 
2017,UL, 23.03 , 2.01 , 27.97 , 3.10 , 121 510 000 000.00 , 7.33 , 5.84 , 9.31 , 9.29 , 32.02 , 14.38 , 19.46 , 8.30 , 2.14 , 2.45 , 5.05 , 0.70 , 0.01 , 0.01 , 0.27 , 1.14 
2018,UL, 20.14 , 2.29 , 20.40 , 2.57 , 155 430 000 000.00 , 13.07 , 7.22 , 11.51 , 11.49 , 30.11 , 9.65 , 12.80 , 9.83 , 2.02 , 2.35 , 5.11 , 0.73 , 0.43 , 2.30 , 0.37 , 1.89 
2019,UL, 23.76 , 2.09 , 2.58 , 1.90 , 91 640 000 000.00 , 13.22 ,-6.30 ,-9.94 , 9.89 , 7.48 ,-19.59 ,-12.17 ,-12.27 , 1.71 , 2.05 , 4.34 , 0.51 , 0.01 , 0.01 , 0.01 , 1.68 
2020,UL, 24.86 , 1.53 , 30.94 , 1.29 , 42 970 000 000.00 , 14.38 ,-4.11 ,-6.05 , 6.05 , 20.79 ,-10.96 ,-0.70 ,-7.20 , 1.81 , 2.30 , 3.03 , 0.57 , 0.40 , 1.75 , 0.36 , 1.27 
2021,UL, 24.44 , 1.18 , 4.03 , 1.27 , 34 700 000 000.00 , 7.50 , 0.69 , 1.08 , 1.08 , 28.87 , 1.55 , 6.56 , 0.98 , 1.76 , 2.14 , 3.51 , 0.71 , 0.07 , 0.11 , 0.33 , 1.15 
2022,UL, 11.15 , 0.75 , 4.69 , 0.96 , 8 370 000 000.00 , 0.77 , 5.19 , 8.88 , 17.87 , 35.48 , 9.53 , 12.26 , 6.75 , 1.71 , 2.00 , 3.83 , 0.77 , 0.08 , 0.14 , 0.29 , 1.05 
2023,UL, 12.17 , 0.82 , 19.81 , 1.05 , 19 800 000 000.00 , 1.82 , 5.19 , 8.88 , 1.18 , 59.70 , 33.42 , 35.75 , 26.47 , 1.71 , 2.00 , 3.83 , 0.77 , 0.08 , 0.14 , 0.29 , 1.05 
,,,,,,,,,,,,,,,,,,,,,,
